"Title","Canadian Total Exports"
"Industries","NAICS 3345 - Navigational, Measuring, Medical and Control Instruments Manufacturing"
"","NAICS 3346 - Manufacturing and Reproducing Magnetic and Optical Media"
"Origin","Canada"
"Destination","All Countries (Detailed)"
"Period","Latest 10 years"
"Units","Value in  Canadian dollars"

"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Colombia","297574","847477","608348","722678","389828","574538","278931","304434","423515","244583"
"Panama","237659","107603","22927","102890","24751","10481","25814","57130","46470","244338"
"Austria","676656","324364","364799","438923","50861","151443","86920","125743","133932","192277"
"Qatar","193047","457196","221975","157778","274593","302627","218670","550305","429613","188341"
"Philippines","263369","319022","364794","716929","508618","134726","125631","341140","228639","176241"
"Morocco","103516","186714","75726","335645","52806","41496","113186","38116","290090","172032"
"Saudi Arabia","826241","1625627","433145","306284","937499","363799","501164","488809","513757","164971"
"Jordan","87378","27497","30224","9640","16559","86131","151702","78653","165675","158838"
"Madagascar","2167","11607","152344","199505","33242","52236","596","5301","349","158364"
"Norway","804697","573909","391517","217132","295817","206485","250223","208939","79678","146191"
"Lebanon","143782","135684","88086","35100","83572","21210","17094","21378","35894","138034"
"Paraguay","6141","6508","25","30866","1783","107","453249","11753","20072","137817"
"Egypt","184768","297558","195798","288270","89325","68025","68469","335827","363635","130121"
"New Zealand","708132","363422","542534","226043","242459","386804","319173","165086","264406","127831"
"Iceland","14554","28748","580","12108","8034","7240","8168","24041","","112935"
"Luxembourg","57261","40975","60397","38398","1582","16327","8373","585","25709","109794"
"Denmark","628012","440964","297415","335475","634331","296025","238203","163746","250697","101655"
"Kuwait","153144","49850","50545","55909","80300","64563","67233","53687","135157","90610"
"Romania","273292","1635716","174680","948639","2131063","73243","89212","29071","83204","85810"
"Indonesia","295309","494134","190858","1272030","155679","320656","732309","270006","325546","85467"
"Sri Lanka","23140","49415","57514","18701","30075","17868","13967","16128","73189","78547"
"Oman (formerly Muscat and Oman)","121678","51126","33167","161486","1124693","70016","43997","37474","40130","75820"
"Ecuador","246931","150904","143049","45915","54463","28231","41188","75193","59704","73128"
"Ireland","2183792","1107722","630065","612898","1713144","870674","200596","160927","181955","72961"
"Algeria","34384","17612","46417","4756","95366","55638","86133","239787","415855","68185"
"Costa Rica","235666","166697","141398","78220","143829","61680","33475","57215","74274","65124"
"Ukraine","34831","7932","14978","3548","5480","60652","34818","1563","6427","63745"
"Estonia","68517","14181","11102","2146","8417","5039","14728","113867","3963","63690"
"Slovakia","1049927","604733","1008032","547677","899835","567322","130707","250884","70368","50700"
"Kenya","42903","4114","24421","148440","11284","41657","28630","26997","4223","39644"
"Pakistan","227052","25116","92895","69653","11084","48074","589260","580510","214421","39016"
"Macedonia","1587","9","2298","504","","","","6124","16925","37365"
"Honduras","8182","20034","46844","8855","12411","76416","84666","21046","48226","36598"
"Venezuela","897155","77384","39706","40614","4852","256263","26504","31335","78300","36558"
"Iraq","2383","4212","5232","1500","8954","34797","74169","41746","49789","32488"
"Bulgaria","47984","93975","83151","107589","22767","34562","67626","46168","26326","31861"
"Yemen","5328","66","364","","369","29779","8592","","","31319"
"Nicaragua","17070","","17673","9467","5216","15594","14047","7514","8912","27369"
"Dominican Republic","15216","52686","3566","135380","72112","37353","34729","11915","60057","25233"
"Mongolia","","","","12598","423","53042","","37679","10629","25233"
"Kazakhstan","1166993","827739","1214883","1722468","1215397","454196","215717","399313","169410","24676"
"El Salvador","320494","68047","288104","","527728","10493","7867","17672","15574","24601"
"Sudan","415","253","16627","4967","","2768","7119","","","23750"
"Portugal","403975","517215","202745","518456","297315","75834","364382","101156","48495","22550"
"Bangladesh","17781","10595","44579","33818","14960","60168","331395","83061","46005","22332"
"Albania","14021","1877","","935","","1461","252","7653","630","21042"
"Mali","362","","","3990","3981","14209","","","1438","18868"
"Ethiopia","9311","","7512","","307149","33137","63204","","2467","18648"
"Senegal","7130","64702","21037","20","3756","","","","160","16440"
"Suriname","","","","","30","7980","17","21855","26967","15948"
"Trinidad and Tobago","262525","392395","159788","149939","43405","44854","144748","73166","84484","15583"
"Uruguay","48076","280660","24475","8564","79283","26305","36972","76009","48402","14964"
"Jamaica","83724","29939","44792","49991","43819","15186","15146","9852","16416","12931"
"Kyrgyzstan","","45172","3942","182","518","","626","729","","12243"
