"Title","Canadian Total Exports"
"Industries","NAICS 3341 - Computer and Peripheral Equipment Manufacturing"
"","NAICS 3342 - Communications Equipment Manufacturing"
"Origin","Canada"
"Destination","All Countries (Detailed)"
"Period","Latest 10 years"
"Units","Value in  Canadian dollars"

"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Samoa (Western)","","3742","","46473","22582","","","","24127",""
"Falkland Islands","","734","","","","","","","10208",""
"Belarus (formerly Byelorussia)","77286","27607","12411","62497","118037","","","3785","10194",""
"Yemen","401695","1296106","580087","595174","170120","69380","212071","102571","7656",""
"Somalia","23241","6400","","38145","72220","","134795","1733","5912",""
"American Samoa","1949","","","","","","","2200","5226",""
"Moldova","","980","35491","3700","34981","65660","3083","53190","3",""
"Wallis and Futuna Islands","","","","","","","","39623","",""
"Nauru","","","","","","","","37223","",""
"Tonga","","","","89104","","","","31866","",""
"Gambia","","1031","","23752","16","1988","59388","15125","",""
"Heard and McDonald Island","","","","","","","","12680","",""
"Norfolk Island","","","","25625","","","","2775","",""
"Burundi","9256","13006","191472","7731","11900","16960","20342","400","",""
"Netherlands Antilles","1051634","444445","710006","669044","1177427","810815","525816","","",""
"Eritrea","","3836","4612","10352","2563","19617","2023","","",""
"Korea, North","15662","642758","166281","21451","35613","3840","","","",""
"Syria","29031","220886","53255","510783","32305","2267","","","",""
"Solomon Islands","","2060","","","","2200","","","",""
"Vanuatu (New Hebrides)","","","","1493","31100","","","","",""
"Timor-Leste","","","","282428","5875","","","","",""
"Guinea-Bissau","","1950","","","5000","","","","",""
"Tajikistan","","157597","7093","160096","3195","","","","",""
"Sao Tomé-Principe","","","","","2048","","","","",""
"British Indian Ocean Territories","","4555","","","","","","","",""
"Saint Helena","109885","","","","","","","","",""
"French Southern Territories","105822","","","","","","","","",""
"Niue","17486","","","","","","","","",""
"Sub-Total","4136307945","4017593606","3180623160","2855345523","2844829121","2630632522","2563427434","2843605914","3172252653","3246399403"
"NAICS 3342 - Communications Equipment Manufacturing"
