"Title","Canadian Total Exports"
"Industries","NAICS 3343 - Audio and Video Equipment Manufacturing"
"","NAICS 3344 - Semiconductor and Other Electronic Component Manufacturing"
"Origin","Canada"
"Destination","All Countries (Detailed)"
"Period","Latest 10 years"
"Units","Value in  Canadian dollars"

"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Sweden","13644504","8522638","2899974","6963364","5032373","5216323","3268172","3806350","5320636","3597609"
"Switzerland","4781069","5237846","3862618","4631349","4122742","4264753","5255657","3012252","3088044","3531674"
"Russia","2972536","4369412","3016838","6076490","6331582","6508965","5467818","12356401","4673352","3331847"
"Finland","2891623","2430481","1324646","2208056","2146185","3533892","1668300","4793968","2466231","2318420"
"Sri Lanka","74163","976464","984718","2479252","3173951","3580821","3251615","9102468","4979657","2276352"
"Tanzania","27703","80198","8653","52","230470","650117","132653","32008","28953","1847367"
"Belgium","4096095","10867922","8909527","2135378","1585146","1050723","1024494","951306","1025890","1738137"
"Argentina","4230609","2546221","2688907","996396","1003696","1446116","3468756","1298984","1906064","1618637"
"Macau (Macao)","706624","4688327","383496","270610","1271708","817070","1160056","561441","547142","1554803"
"Denmark","6478317","5277625","2546664","4627786","2646410","1440906","1009303","1309612","739134","1546738"
"Vietnam","2173639","3380802","2431828","957623","1744760","295487","627074","1038632","951167","1477957"
"Chile","1476019","4118658","870263","1377285","1378302","1116017","9257897","929075","1400889","1387618"
"Spain","6064985","5423634","3422030","3522826","1534568","1148259","1003699","1271901","992862","1175137"
"Austria","2714136","2135745","2499433","1260172","1437230","1675945","1101866","1860171","1122497","1173644"
"New Zealand","2025335","1291614","1901969","822065","4266114","2293114","1338565","628798","933390","1169494"
"Ireland","2015990","1264023","784244","394035","426845","476366","337581","301659","1302451","773519"
"Panama","109002","468443","94202","180941","83468","142591","212118","315259","643623","754577"
"Romania","1894790","5216097","1905044","1743927","7198532","2402874","722419","890379","483745","696843"
"Uruguay","179520","156492","129668","115164","132251","291846","348978","641356","737983","649050"
"Hungary","106366735","97958483","137254521","22683762","192416568","82693375","35603414","4205202","548164","487466"
"Norway","1772137","1625634","1004529","953799","1257734","832917","596090","946481","545791","426091"
"Iceland","428810","697040","499283","461146","105679","113056","90509","227244","156707","424730"
"Peru","796358","643433","396801","389800","995365","840471","589018","481672","832989","416968"
"Jamaica","385110","28099","430509","242771","156313","157761","12450","68613","36489","382085"
"Qatar","107611","141081","2668025","355839","269453","549128","183287","215402","484290","354753"
"Lithuania","446799","147859","86302","183699","395602","212083","80615","391991","405864","327256"
"Costa Rica","106856","198773","135280","810211","100550","1461757","384713","349369","119862","313754"
"Cyprus","15923","23555","8773","15357","14144","5810","18708","5149","42787","309885"
"Dominican Republic","525616","541881","317738","591212","559025","518211","2689487","870008","257540","275806"
"Trinidad and Tobago","510640","460244","304312","269602","100306","99772","114599","266309","209987","241022"
"Slovenia","167126","87181","112959","358326","217701","170009","253390","266395","158922","225758"
"Honduras","33676","90487","4316","64473","14366","221884","26195","170126","251143","218905"
"Pakistan","766672","870869","465683","406891","442715","140930","182590","188642","88507","186954"
"Latvia","51159","87516","42255","22293","40642","141126","67924","322065","278201","172174"
"Anguilla","35596","1027","3414","310","","39","60333","7088","1147","162317"
"Nigeria","222840","85226","161826","184404","298357","107294","481759","191356","51693","154203"
"Portugal","1442837","219631","80722","442270","455039","301462","212568","129221","186268","148054"
"Madagascar","56053","202812","17234","110194","515942","17555","97059","19062","645","142326"
"Colombia","848529","768099","1635126","680032","353680","887386","443276","534046","322829","139457"
"Ukraine","626116","353556","163868","294064","540004","583627","154450","82229","159176","138004"
"Angola","3939","33434","24094","8760","15239","35624","14581","15119","82170","125607"
"Estonia","546572","106578","145056","163853","150556","257867","242504","151579","143290","120321"
"Slovakia","429306","363051","152595","153211","149365","125812","60179","34985","200602","117040"
"Syria","14504","69781","25628","4078","4258","358","","","","105743"
"Oman (formerly Muscat and Oman)","83840","110278","182488","55948","59606","47127","30281","93510","35072","97984"
"Morocco","129674","89639","78106","185308","131004","16531","96671","50158","40386","93229"
"Bulgaria","159336","278495","155716","62305","161576","85945","251057","142599","149899","89493"
"Lebanon","53131","111484","182224","261982","40391","70513","12130","12687","74644","70410"
"Iraq","44229","136129","59524","80954","125544","419693","73401","726743","79944","65149"
"Kuwait","115554","200150","23171","75475","98219","212465","64074","159407","214292","64305"
"Ethiopia","1800","11974","424","","6525","4164","80","9271","","62701"
"Botswana","100938","56302","73384","40179","30468","32292","3027","935","197590","61356"
"Ecuador","928559","50312","176348","73738","279477","169597","183003","426456","277347","59719"
"Guatemala","542343","196184","149352","72633","40923","56867","43194","86292","282985","56296"
"Mongolia","2269","619","7687","6672","18472","496478","63066","65164","42766","55433"
"El Salvador","80103","667211","27530","47726","41478","22425","18670","30379","64190","55131"
"Burkina Faso","18094","9673","9815","57952","141111","57794","164502","42922","11486","53360"
"Aruba","46782","45218","30851","25524","28117","16264","123064","50951","34899","52145"
"Côte-d'Ivoire","2086","245","14654","75","7146","10236","70085","31952","119704","48688"
"Paraguay","19676","4504","6087","10071","10564","16617","23163","31737","5429","47485"
"Jordan","194074","181724","36419","19592","14774","15577","25483","29103","134060","42362"
"Barbados","534126","300370","54743","50079","101654","71471","48853","85267","80289","42152"
"Cameroon","47946","39848","15795","33","29721","4967","3365","7349","63799","41172"
